Lat,Lon,Importancia,Acidente,Teatro_Maritimo,Lat_original,Lon_original
40.03816666666667,-9.119666666666667,10.0,1,Continente,40.03816666666667,-9.119666666666667
40.66,-9.016666666666667,8.0,1,Continente,40.66,-9.016666666666667
37.9605,-8.8895,10.0,1,Continente,37.9605,-8.8895
37.9605,-8.8895,10.0,1,Continente,37.9605,-8.8895
39.42666666666667,-9.461666666666666,10.0,1,Continente,39.42666666666667,-9.461666666666666
39.0105,-9.781666666666666,4.0,0,Continente,39.0105,-9.781666666666666
41.57516666666667,-9.179166666666667,10.0,1,Continente,41.57516666666667,-9.179166666666667
38.1735,-9.787333333333333,4.0,0,Continente,38.1735,-9.787333333333333
38.508919571530825,-9.320274865829145,8.0,1,Continente,38.57333333333333,-9.196666666666667
39.595666666666666,-9.100333333333333,8.0,1,Continente,39.595666666666666,-9.100333333333333
39.595666666666666,-9.100333333333333,8.0,1,Continente,39.595666666666666,-9.100333333333333
38.266666666666666,-30.633333333333333,5.0,0,Açores,38.266666666666666,-30.633333333333333
39.02985,-9.76135,5.0,0,Continente,39.02985,-9.76135
40.154666666666664,-8.930833333333334,5.0,0,Continente,40.154666666666664,-8.930833333333334
40.405,-9.255,5.0,1,Continente,40.405,-9.255
40.405,-9.255,5.0,1,Continente,40.405,-9.255
35.63283333333333,-7.270333333333333,8.0,1,Continente,35.63283333333333,-7.270333333333333
38.623666666666665,-9.643333333333333,5.0,0,Continente,38.623666666666665,-9.643333333333333
